4th Hour?,Date,Title,Description,To do before class,To do during class,To do,For Further Exploration,,,,,Notes
FALSE,Aug 27,Welcome,,,"Syllabus discussion, Discuss projects and communal viewing, Explore Film Philosophy, Broad discussion of music and film",,,"Review syllabus, ",,,,
FALSE,Sep 1,The Canon,"horror movies & subgenres, all-time greats","Read (2-part article): Your Brain on Music https://www.kennedy-center.org/education/resources-for-educators/classroom-resources/media-and-interactives/media/music/your-brain-on-music/your-brain-on-music/your-brain-on-music-chills-and-thrills, Watch & Submit Reflection: Jaws","Discuss Jaws, Talk about the horror movie canon, Discuss playlist project, Ideate on Score ID quiz",,,The canon / genres (introduce listening list for the semester),,https://www.kennedy-center.org/education/resources-for-educators/classroom-resources/media-and-interactives/media/music/your-brain-on-music/your-brain-on-music/your-brain-on-music-chills-and-thrills/ and https://www.kennedy-center.org/education/resources-for-educators/classroom-resources/media-and-interactives/media/music/your-brain-on-music/your-brain-on-music/your-brain-on-music-chills-and-thrills/,,
FALSE,Sep 3,The Kuleshov Effect,"the power of sound in scary movies, minimalism",Read: Michael Brown - Sonic Arcanum https://wabash.instructure.com/courses/8208566/files/folder/Readings?preview=358100173,"Discuss the role of music in film, Go through examples of how sound and film impact each other",,," (do early, to show connection of emotion)",,,,
FALSE,Sep 8,Jump Scares,"physiology of jumpscares, the cat scare, history, philosophy, and creative ethics",Read: Robert Baird - The Startle Effect https://wabash.instructure.com/courses/8208566/files/folder/Readings?preview=358100175,Discuss the types and rhythms of jumpscares we see in film and the music and sound-effects that go into them,,Cat People (1942); Carrie (1976); The Exorcist III (1990); The Conjuring (2013); Insidious (2010); Host (2020),"(physics, Haxen, Cat Scare (or Lewton Bus), etc) - timing - drone, sound wall, silence before jumpscare",,,,
TRUE,Sep 8,8:00pm Screening: Candyman - Korb Classroom,,, ,Attend screening and write reflection after. If you have an excused absence you can arrange to view the film on your own before the next class.,,,,,,
FALSE,Sep 10,Radio Dramas,"scary movies relationship with radio dramas, and the use of sound to set the mood","Submit Reflection: Candyman, Watch & Submit Reflection: Pontypool - Youtube https://www.youtube.com/watch?v=dLWWwAw2Zyc","Discuss Pontypool, Discuss the history of film and the relationship scary movies have to radio dramas, Discuss non-jumpscare uses of sound, Discuss Candyman",,The War of the Worlds (1953); The Vast of Night (2019); On the Air (1989); The Fog (1980)," (war of the worlds, the shadow, nightmare inn, pontypool) - early silent films",,,,
FALSE,Sep 15,Classical Music & Hollywood,romantic era's influence on modern film,Watch & Submit Reflection: Psycho,"Discuss Psycho, Discuss and listen to classic Hollywood scores and their early film influences",,"A Clockwork Orange (1971), The Birds (1963), Rosemary's Baby (1968), The Sixth Sense (1999), The Witches (1990), Black Swan (2010)"," (Music Directors, popular music, Happy Death Day = repeated needle drop)",,American Psycho,,
FALSE,Sep 17,Needle Drops,"popular music in movies, sound directors, licensing",Watch & Submit Reflection: From Dusk Till Dawn,"Discuss From Dust Fill Dawn, Start 2-minute presentations (I'll go first), Discuss needle drops and popular music in scary movies",I'll start by doing one!,American Graffiti (1973); Trainspotting (1996); Reservoir Dogs (1992),Classical Music's influence on hollywood,,Silence of the Lambs,,
FALSE,Sep 22,Dies Irae & Avant Garde Music,how very old and very new classical music influences film,"Submit: Film Score Project, Watch: Mini-documentary on the Dies Irae","Listen to Film Score Projects, Discuss the Dies Irae",,There Will Be Blood (2007); The Lighthouse (2019); Kwaidan (1964),Dies Irae / Avant Garde Music (Really Old + Really New classical music),,"listen to penderecki, etc, WAtch The Shining? - also include beethoven 9 in clockwork orange",,
TRUE,Sep 22,9:00pm Screening: The Shining - Salter Hall,,,,Attend screening and write reflection after. If you have an excused absence you can arrange to view the film on your own before the next class.,,,,,,
FALSE,Sep 24,Paratext,"trailers, film reviewers, IRL drama, the power (or not) of the author","Submit Reflection: The Shining, Watch & Submit Reflection: Room 237","Discuss the Shining, Explore paratext and the ways that the ""other stuff"" related to a film impacts its character",,"Scream (1996); The Blair Witch Project (1999); Cloverfield (2008); Paranormal Activity (2007); Antrum (2018); This Is Spinal Tap (1984), Cannibal Holocaust (1970)","Metanarrative (funny games, Inland empire, cut of the dead, Tucker and Dale, cabin in the woods, scream, New nightmare, Neverending story, existenz, Epidemic), Metalepsis (Psycho, Funny Games, Mulholand Drive with the singer)",,Sinners,,HOMECOMING
FALSE,Sep 29,Metanarrative,"all music is music about music, and all film is film about film",Watch & Submit Reflection: Funny Games,"Discuss Room 237, Discuss Funny Games, Explore metanarrative and the way films use music to explore ""the story of the story""",,"Wes Craven's New Nightmare (1994), Cut of the Dead (2017), The Cabin in the Woods (2011); Scream (1996); The Purple Rose of Cairo (1985); Holy Motors (2012); In the Mouth of Madness (1995)",Postmodernism (Sinners),,Funny Games (also point out dramatic irony),,
FALSE,Oct 1,Postmodernism,"pastiche, irony, hyperreality, rejection of metanarratives","Watch & Submit Reflection: American Psycho, Read: Howard Shore - The Cell - Interview https://wabash.instructure.com/courses/8208566/files/folder/Readings?preview=358100170","Discuss American Psycho, Explore postmodernism in film",,"Mulholland Drive (2001), existenz (1999), Tucker and Dale Vs Evil (2010), Barton Fink (1991)","Paratext (two towers, requiem for a dream, eyes wide shut, Blair Witch, Cannicabal Hollocaust)",,,,
TRUE,Oct 1,9:00pm Screening: The Cell - Korb Classroom,,,,Attend screening and write reflection after. If you have an excused absence you can arrange to view the film on your own before the next class.,,Lafollette lecture + dinner today,,,,
FALSE,Oct 6,Credits as Overture,how this opera trope finds its way into film,"Submit: Score Review Project, Submit Reflection: The Cell","Discuss The Cell, Explore different techniques filmmakers use to help the opening credits feel like an overture to the film",,Halloween (1978); Vertigo (1958); Panic Room (2002); The Girl with the Dragon Tattoo (2011); Se7en (1995),"Credits as Overture (in class: Se7en, Enter the Void)",,,,
FALSE,Oct 8,Culture & Creativity,how film and music situates itself in time and place,Watch & Submit Reflection: Raw,"Discuss Raw, Discuss Score Review Project, Discuss music's relationship to culture and place",,"Get Out (2017); Nope (2022); The Wailing (2016), Train to Busan (2016), The Ritual (2017), Talk to Me (2022), Let the Right One In (2008), The Wicker Man (1973), Midsommar (2019), A Girl Walks Home Alone at Night (2014)",Cultural and Creativity (pan's labyrinth),,,,
TRUE,Oct 9,"Off-Campus Excursion: 3:00, meet at FAC","shopping, dinner, and film screening",,,"Meet at 3:00 to leave early and go to Saraga in Indianapolis, Dinner at Tapas Ñ 5:30, Pan's Labyrinth screening at 7:00, Back on campus by 10:30pm",,     SCREENING EXCURSION - PAN'S LABYRINTH,,,,
FALSE,Oct 13,Leitmotifs & Themes,"the musical 'name tag,' and using music for plot & character clarity",,Discuss leitmotifs and examples in opera/film,,"Star Wars (1977), Lord of the Rings (2001), Vertigo (1958); Psycho (1960); Halloween (1978)",Leitmotifs,,,,
FALSE,Oct 15,NO CLASS (fall break),,,,,,,No class,,,
FALSE,Oct 20,Composition Modalities,"composer/directors, temp tracks, method writing, blind writing",Submit: Music Director project,"Listen to Music Director projects, Discuss and listen to composition practices in film",,"Backrooms (2026), Bugonia (2025), Once Upon a Time In Mexico (2003), Inland Empire (2006)","Music Modalities, Composer/Directors, temp tracks, bugonia where they weren't given anything), John Carpenter, Robert Rogriguez, David Lynch, etc",,,,
TRUE,Oct 20,8:00pm Screening: Eraserhead - Salter Hall,,,,Attend screening and write reflection after. If you have an excused absence you can arrange to view the film on your own before the next class.,,,,,,
FALSE,Oct 22,Uncanny Sounds,things that go bump in the night,"Submit Reflection: Eraserhead, Read: David Lynch Interview https://wabash.instructure.com/courses/8208566/files/folder/Readings?preview=358100164","Discuss Eraserhead, Explore uncanny and inhuman sounds in film",,The Shout (1978); Under the Skin (2013); Memoria (2021); Berberian Sound Studio (2012); Skinamarink (2022),"Uncanny Sounds (Ju On, AHS, Death rattle in Undertone, US the mom talking, tinnitus)",,,,
FALSE,Oct 27,Scary Instruments,"moog, theremin, waterphone, organ","Read and Listen: Weird Instruments Used in Almost All Horror Movie Soundtracks https://thevault.musicarts.com/weird-instruments-that-are-used-in-almost-all-horror-movie-soundtracks, Submit: the Hollywood Halloween Playlist project","Discuss Hollywood Halloween Playlist, Explore scary instruments in film",,The Texas Chain Saw Massacre (1974); Suspiria (1977); The Fog (1980); Sinister (2012),"Horror Instruments (Moog, Theremin, Waterphone, etc)",,,,
TRUE,Oct 27,"7:30pm Organ Performance, Chapel (maybe a tour during class?)",organist Bruce Neswick performs as part of the Wabash Visiting Artist Series,,,Attend the organ recital.,,   ORGAN PERFORMANCE,"Bruce Neswick, Organist",,,Free tickets at wabash.edu/boxoffice
FALSE,Oct 29,Foley & Sound Effects,the scary sounds that aren't music,"Watch: Mini-documentary on the Wilhelm Scream, Watch & Submit Reflection: The Burbs - YouTube https://www.youtube.com/watch?v=GW5AjXOWo6E",Discuss Foley and sound effects and their relationship with film,,The Birds (1963); Jurassic Park (1993); A Quiet Place (2018); Berberian Sound Studio (2012); The Revenant (2015),Foley + Sound Effects,,,,
FALSE,Nov 3,Audio Processing,"time stretching, LFO, misophonia, grima, psychoacoustics",Read: William Whittington - Sound Silence and Horror https://wabash.instructure.com/courses/8208566/files/folder/Readings?preview=358100177,Discuss sound processing techniques and how they show up in scary movies,,Blow Out (1981); Videodrome (1983); The Ring (2002); Obsession (2026),"Audio Processing  (time stretching like Twin Peaks [Jurassic Park 800% slower], reversing, LFO, misophonia, Grima, messing with dialog - like the voice modulator in scream or the girlfriend's voice in obsession or layering in the exorcist, ADR, tinnitus in war movies, Psychoacoustics like shepherd tone or Risset Rhythm)",,Exorcist (reading),,QUIZ - score ID
TRUE,Nov 3,8:00pm Screening: The Exorcist - Korb Classroom,,,,Attend screening and write reflection after. If you have an excused absence you can arrange to view the film on your own before the next class.,,,,,,
FALSE,Nov 5,Musique Concrete,how a French composition style from the 1940s made it to Hollywood,"Read: Aiki Aubrey Candyman Interview https://www.motionpictures.org/2021/08/how-candyman-composer-robert-aiki-aubrey-lowe-manipulated-madness-into-music, Resubmit: Score Review Project, Submit Reflection: The Exorcist","Discuss The Exorcist, Explore examples of musique concrete in film and culture",,Forbidden Planet (1956); The Birds (1963); Last Year at Marienbad (1961); Repulsion (1965);,Musique Concrete,,,Silence of the Lambs,
FALSE,Nov 10,Soundscape,"is it music, is it sound effects?",Watch & Submit Reflection: Mandy,"Discuss Mandy, Explore the use of soundscape in scary movies",,"No Country for Old Men (2007); Alice (1988), Memoria (2021); Under the Skin (2013)",Soundscape,,,,
TRUE,Nov 10,9:00pm Screening: Silence of the Lambs - Salter Hall,,,,Attend screening and write reflection after. If you have an excused absence you can arrange to view the film on your own before the next class.,,,,,,
FALSE,Nov 12,Anempathetic Music,"music that doesn't match the vibe, dramatic irony, switcheroo",Submit Reflection: Silence of the Lambs,,,Reservoir Dogs (1992); Goodfellas (1990); A Clockwork Orange (1971);,"Anempathetic Music (Face Off, experiment with layering benny hill on top of other stuff - SILENCE OF THE LAMBS) - bring up parallel to Switcheroo in Silence... - talk about Dramatic Irony like with Funny Games",,,,MONON BELL
FALSE,Nov 17,Diegetic Music,music the characters can hear,"Read: Ludwig Göransson - Sinners - Interview https://wabash.instructure.com/courses/8208566/files/folder/Readings?preview=358100172, Study for Score Identification Challenge","Challenge: Score Identification, Discuss Silence of the Lambs",,Blue Velvet (1986); Mulholland Drive (2001); Inside Llewyn Davis (2013); Baby Driver (2017); The Blues Brothers (1980),"Diegetic Music (Lost Boys, Lost Highway) - diegetic switch aka transdiegetic",,,,
TRUE,Nov 17,9:00pm Screening: Sinners - Korb Classroom,,,,Attend screening and write reflection after. If you have an excused absence you can arrange to view the film on your own before the next class.,,,,,,
FALSE,Nov 19,Dialogue,the rhythm and music of speaking,"Submit Reflection: Sinners, Watch & Submit Reflection: Scenic Route - hoopla","Discuss Sinners, Discuss Scenic Route, Discuss Dialogue",,The Social Network (2010); The Witch (2015),"Silence (Ma, negative space - we're all going to the world's fair, The Witch both as examples of VERY QUIET in the key impactful moment)",,,Fallen?,
FALSE,Nov 24,NO CLASS (Thanksgiving break),,,,,,,No class,,,
FALSE,Nov 26,NO CLASS (Thanksgiving break),,,,,,,No class,,,
